timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1741646266.80024409,103909032,0,1.23,2.41,353.96,2.4372220039367676,0.06724181771278381,-0.06938628107309341,-0.015189986675977707,6.4755096435546875,-0.910100519657135,-49.91557693481445,0.06,0.11,-0.04,584.16
1741646266.80024409,103909032,1,-0.33,-0.24,333.12,2.702821731567383,-0.9937558174133301,-0.09489864110946655,-0.01251515094190836,6.459157943725586,-1.6801294088363647,-50.03087615966797,-0.16,0.5,-0.09,584.16
1741646266.82023692,103929025,0,1.2,2.51,353.84,2.4335520267486572,0.07802759110927582,-0.07300040125846863,-0.01941758580505848,6.527714729309082,-0.909909188747406,-49.9156494140625,0.06,0.11,-0.04,584.16
1741646266.82023692,103929025,1,-0.11,0.06,333.13,2.7033486366271973,-0.9796088337898254,-0.09910745918750763,-0.017000094056129456,6.515929698944092,-1.6781622171401978,-50.03068542480469,-0.16,0.5,-0.09,584.16
1741646266.84022999,103949018,0,1.53,2.58,353.75,2.425067901611328,0.0804365798830986,-0.08408106863498688,-0.031278111040592194,6.577932357788086,-0.9088661074638367,-49.91661071777344,0.06,0.11,-0.04,584.16
1741646266.84022999,103949018,1,-0.14,0.33,333.33,2.694995880126953,-0.9789766669273376,-0.11024638265371323,-0.028796445578336716,6.571053504943848,-1.6873886585235596,-50.03181076049805,-0.16,0.5,-0.09,584.16
1741646266.88021708,103989005,0,1.5,2.7,354.1,2.413224220275879,0.09746149927377701,-0.08904418349266052,-0.038537438958883286,6.683722496032715,-0.9075990319252014,-49.91725158691406,0.05,0.11,-0.04,584.16
1741646266.88021708,103989005,1,0.48,0.57,333.94,2.687460422515869,-0.9450305104255676,-0.11613526940345764,-0.03788471966981888,6.685676574707031,-1.6744613647460938,-50.032161712646484,-0.17,0.5,-0.09,584.16
1741646266.92020392,104028992,0,1.35,3.08,354.27,2.4008233547210693,0.09889644384384155,-0.06421852111816406,-0.006543482653796673,6.788182735443115,-0.9051922559738159,-49.917724609375,0.05,0.12,-0.04,584.16
1741646266.92020392,104028992,1,0.26,1.44,334.95,2.671449661254883,-0.9275123476982117,-0.09339332580566406,-0.0079454081133008,6.796440124511719,-1.6670726537704468,-50.032554626464844,-0.17,0.5,-0.09,584.16
